id,group,file_name,path,duration,size,bit_rate,codec,width,height,r_frame_rate,avg_frame_rate,nb_frames,pix_fmt,color_space,color_transfer,color_primaries,color_range,error
69,SAKURI,Single continuous 5-second take_ Begin exactly at the suppli (1).mp4,inputs/sources/SAKURI/RUNWAY/Single continuous 5-second take_ Begin exactly at the suppli (1).mp4,5.041667,8083386,12826529,h264,1920,1080,24/1,24/1,121,yuv420p,,,,,
70,SAKURI,Single continuous 5-second take_ Begin exactly at the suppli.mp4,inputs/sources/SAKURI/RUNWAY/Single continuous 5-second take_ Begin exactly at the suppli.mp4,5.041667,5555460,8815274,h264,1920,1080,24/1,24/1,121,yuv420p,,,,,
71,SAKURI,Single continuous 6-second take_ Begin exactly at the suppli (1).mp4,inputs/sources/SAKURI/RUNWAY/Single continuous 6-second take_ Begin exactly at the suppli (1).mp4,6.041667,7467332,9887776,h264,1920,1080,24/1,24/1,145,yuv420p,,,,,
72,SAKURI,Single continuous 6-second take_ Begin exactly at the suppli.mp4,inputs/sources/SAKURI/RUNWAY/Single continuous 6-second take_ Begin exactly at the suppli.mp4,6.041667,7414313,9817572,h264,1920,1080,24/1,24/1,145,yuv420p,,,,,
73,SETSUKA,Add elegant cinematic magic to the existing architectural tr.mp4,inputs/sources/SETSUKA/runway雪華/Add elegant cinematic magic to the existing architectural tr.mp4,4.0,4987394,9974788,h264,1920,1080,24/1,24/1,96,yuv420p,,,,,
74,SETSUKA,Animate the supplied start and end frames as one continuous.mp4,inputs/sources/SETSUKA/runway雪華/Animate the supplied start and end frames as one continuous.mp4,5.041667,7319911,11615064,h264,1920,1080,24/1,24/1,121,yuv420p,,,,,
75,SETSUKA,Create a seamless transition from the supplied moon-gate rea.mp4,inputs/sources/SETSUKA/runway雪華/Create a seamless transition from the supplied moon-gate rea.mp4,4.041667,5882146,11643009,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
76,SETSUKA,Create a seamless transition from the supplied snowy forest.mp4,inputs/sources/SETSUKA/runway雪華/Create a seamless transition from the supplied snowy forest.mp4,4.041667,4751349,9404731,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
77,SETSUKA,Create a seamless transition from the supplied snowy palace.mp4,inputs/sources/SETSUKA/runway雪華/Create a seamless transition from the supplied snowy palace.mp4,4.041667,5715096,11312354,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
78,SETSUKA,Create one continuous cinematic 4-second transition using th.mp4,inputs/sources/SETSUKA/runway雪華/Create one continuous cinematic 4-second transition using th.mp4,4.041667,5102218,10099234,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
